X0,Y0,X1,Y1,X2,Y2
24.044,1.40696,24.0442,2.98726,24.0442,2.72433
24.113,0.83148,24.1131,2.68049,24.1131,2.36613
24.182,1.37356,24.1820,2.32937,24.1820,1.63267
24.251,1.84040,24.2509,1.82711,24.2509,1.51907
24.320,2.24302,24.3198,1.53773,24.3198,1.20436
24.389,2.58484,24.3887,2.20243,24.3887,0.93333
24.458,2.47989,24.4575,2.44964,24.4575,0.97268
24.526,2.09203,24.5264,2.21537,24.5264,1.34407
24.595,1.89814,24.5953,2.09673,24.5953,0.86871
24.664,1.80118,24.6642,2.41965,24.6642,1.08967
24.733,2.28591,24.7331,2.06260,24.7331,1.36919
24.802,1.67309,24.8020,2.05359,24.8020,1.71132
24.871,1.70083,24.8709,2.01121,24.8709,2.03098
24.940,2.08175,24.9398,1.78815,24.9398,2.20188
25.009,1.68728,25.0087,1.91109,25.0087,2.40472
25.078,2.32062,25.0776,1.70849,25.0776,2.91865
25.146,2.07104,25.1465,1.42733,25.1465,2.36811
25.215,1.46612,25.2154,1.09689,25.2154,2.56583
25.284,1.78763,25.2843,1.76485,25.2843,2.46332
25.353,0.91485,25.3532,1.34142,25.3532,2.19767
25.422,0.87361,25.4221,1.38330,25.4221,1.89271
25.491,0.90062,25.4910,0.83177,25.4910,1.75875
25.560,0.83605,25.5599,1.16457,25.5599,1.94410
25.629,1.86071,25.6288,2.91705,25.6288,2.42390
25.698,1.56368,25.6976,3.08442,25.6976,2.81135
25.767,2.16562,25.7665,4.10919,25.7665,2.41907
25.835,1.74573,25.8354,2.76739,25.8354,3.58322
25.904,1.23496,25.9043,2.10660,25.9043,3.65131
25.973,1.67959,25.9732,2.70620,25.9732,4.09947
26.042,1.76537,26.0421,2.05967,26.0421,3.73953
26.111,2.44373,26.1110,2.12875,26.1110,4.14554
26.180,3.13501,26.1799,1.86423,26.1799,3.93206
26.249,3.36251,26.2488,2.37621,26.2488,2.63408
26.318,2.96357,26.3177,2.23825,26.3177,2.75639
26.387,3.18916,26.3866,1.69320,26.3866,2.42394
26.455,2.53997,26.4555,1.40052,26.4555,2.95013
26.524,1.87670,26.5244,1.17710,26.5244,2.83646
26.593,1.32726,26.5933,1.50015,26.5933,2.47927
26.662,0.95101,26.6622,1.02297,26.6622,2.03779
26.731,0.61282,26.7311,1.28814,26.7311,2.23429
26.800,0.93229,26.8000,1.10349,26.8000,2.54109
26.869,1.56063,26.8689,1.22591,26.8689,2.02137
26.938,1.77174,26.9377,1.15859,26.9377,2.85088
27.007,1.76581,27.0066,1.20098,27.0066,3.06260
27.076,2.03695,27.0755,1.15832,27.0755,3.00806
27.144,1.41951,27.1444,1.27022,27.1444,3.22295
27.213,0.91893,27.2133,0.62881,27.2133,2.31160
