X0,Y0,X1,Y1,X2,Y2
18.257,4.1552,18.2570,13.3332,18.2570,10.3327
18.326,3.8108,18.3259,15.5052,18.3259,12.5817
18.395,4.2356,18.3948,20.5428,18.3948,11.0090
18.464,4.3263,18.4637,20.1562,18.4637,11.1441
18.533,6.9424,18.5326,19.7577,18.5326,11.1150
18.602,9.3134,18.6015,18.8732,18.6015,9.8003
18.670,8.2780,18.6704,21.7841,18.6704,8.8415
18.739,3.3773,18.7393,18.9703,18.7393,6.8701
18.808,1.7758,18.8082,16.8392,18.8082,7.8173
18.877,0.9482,18.8771,12.7153,18.8771,4.6556
18.946,1.0381,18.9460,12.4708,18.9460,2.9067
19.015,1.8924,19.0149,14.4711,19.0149,4.5008
19.084,3.9778,19.0838,13.3464,19.0838,2.5076
19.153,6.0922,19.1527,18.1907,19.1527,2.8867
19.222,7.6787,19.2216,25.6005,19.2216,2.2195
19.290,8.0516,19.2905,29.5980,19.2905,3.1251
19.359,5.2332,19.3594,21.1944,19.3594,2.8503
19.428,5.2986,19.4282,15.5258,19.4282,3.7569
19.497,7.3242,19.4971,15.3317,19.4971,6.3325
19.566,7.9415,19.5660,15.3660,19.5660,6.1548
19.635,7.9800,19.6349,19.6656,19.6349,3.4153
19.704,6.1022,19.7038,17.4373,19.7038,2.3489
19.773,5.3259,19.7727,12.7037,19.7727,0.9664
19.842,5.7720,19.8416,10.7367,19.8416,1.0415
19.911,8.4457,19.9105,10.0914,19.9105,1.5328
19.979,14.8479,19.9794,8.0162,19.9794,2.1287
20.048,20.9603,20.0483,5.2137,20.0483,2.0153
20.117,26.2516,20.1172,3.6867,20.1172,1.2642
20.186,29.4072,20.1861,3.7850,20.1861,1.9486
20.255,37.4195,20.2550,3.6872,20.2550,1.3481
20.324,35.4970,20.3239,6.1903,20.3239,3.6104
20.393,28.7549,20.3928,6.4153,20.3928,5.3164
20.462,24.9053,20.4617,7.6458,20.4617,8.3076
20.531,23.9191,20.5306,7.9327,20.5306,11.3922
20.599,24.0489,20.5995,11.6538,20.5995,12.1048
20.668,22.4910,20.6684,15.4962,20.6684,8.7018
20.737,19.8981,20.7372,19.1474,20.7372,5.5626
20.806,16.2594,20.8061,19.4785,20.8061,7.5276
20.875,16.3197,20.8750,23.4520,20.8750,8.7139
20.944,10.9960,20.9439,19.5289,20.9439,9.1222
21.013,8.0452,21.0128,11.6880,21.0128,9.3408
21.082,5.6647,21.0817,6.1576,21.0817,9.3311
21.151,5.8586,21.1506,3.3151,21.1506,9.5998
21.220,5.5584,21.2195,2.3780,21.2195,8.4872
21.288,5.6917,21.2884,3.5141,21.2884,7.1855
21.357,7.4682,21.3573,3.6394,21.3573,9.3694
21.426,6.8217,21.4262,3.3301,21.4262,6.5167
21.495,3.5685,21.4951,4.0982,21.4951,8.6036
21.564,3.1875,21.5640,9.0217,21.5640,7.2493
21.633,3.1495,21.6329,13.4589,21.6329,6.6515
21.702,3.5665,21.7018,25.4099,21.7018,4.4125
21.771,5.0101,21.7707,46.6977,21.7707,4.4668
21.840,4.7554,21.8396,55.2972,21.8396,6.1185
21.908,3.2432,21.9085,43.3468,21.9085,6.8925
21.977,4.6686,21.9773,28.9183,21.9773,7.9441
22.046,5.2288,22.0462,23.5433,22.0462,7.9937
22.115,8.0763,22.1151,21.7923,22.1151,5.7476
22.184,10.8998,22.1840,23.1912,22.1840,3.4297
22.253,15.7493,22.2529,27.9911,22.2529,3.9871
22.322,12.6838,22.3218,29.4780,22.3218,5.6697
22.391,8.0249,22.3907,31.2848,22.3907,11.9689
22.460,5.2678,22.4596,27.2000,22.4596,13.0795
22.529,5.4031,22.5285,27.1206,22.5285,10.9920
22.597,3.5304,22.5974,22.8407,22.5974,10.6970
22.666,2.9104,22.6663,17.3950,22.6663,10.1463
22.735,1.9307,22.7352,12.2388,22.7352,7.1221
22.804,2.2188,22.8041,10.2890,22.8041,6.2246
22.873,2.2329,22.8730,11.4715,22.8730,3.4192
22.942,2.2591,22.9419,14.7168,22.9419,2.7584
23.011,3.4349,23.0108,16.1960,23.0108,2.5125
23.080,3.5810,23.0797,12.7040,23.0797,3.4662
23.149,2.6993,23.1486,9.7876,23.1486,2.7466
23.217,3.0110,23.2174,7.5150,23.2174,2.2889
23.286,4.8178,23.2863,5.5976,23.2863,2.3803
23.355,7.1965,23.3552,4.4732,23.3552,1.5882
23.424,11.3882,23.4241,3.9787,23.4241,2.3352
23.493,10.6892,23.4930,3.9206,23.4930,1.5624
23.562,7.1642,23.5619,4.1928,23.5619,1.3170
23.631,4.6967,23.6308,6.9082,23.6308,1.4963
23.700,4.1824,23.6997,10.1365,23.6997,1.4341
23.769,4.6623,23.7686,13.4893,23.7686,1.6411
23.837,4.1670,23.8375,19.8190,23.8375,1.4005
23.906,5.3089,23.9064,17.7973,23.9064,1.8339
23.975,3.3839,23.9753,15.4174,23.9753,2.4834
24.044,4.9517,24.0442,12.4656,24.0442,2.9776
24.113,5.5257,24.1131,9.5369,24.1131,2.2153
