,position (um),Fat2dICD intensity,Abi intensity
606,41.7501,11.365,2.735
607,41.819,13.652,1.9312
608,41.8879,14.501,2.3149
609,41.9567,11.732,3.269
610,42.0256,13.158,3.084
611,42.0945,13.276,2.8457
612,42.1634,10.569,3.0422
613,42.2323,12.722,2.5676
614,42.3012,14.75,2.3848
615,42.3701,24.658,3.1388
616,42.439,33.09,5.3328
617,42.5079,55.411,5.5654
618,42.5768,63.394,7.9621
619,42.6457,65.609,9.1016
620,42.7146,63.054,10.7085
621,42.7835,61.005,9.9932
622,42.8524,55.337,9.6792
623,42.9213,48.679,8.7395
624,42.9902,39.084,8.8976
625,43.0591,29.163,6.8219
626,43.128,24.42,6.323
627,43.1968,23.002,4.0852
628,43.2657,21.578,3.8954
629,43.3346,20.768,3.8029
630,43.4035,19.625,3.7336
631,43.4724,21.834,3.7638
632,43.5413,25.801,3.8259
633,43.6102,24.33,4.1739
634,43.6791,15.693,3.212
635,43.748,10.812,2.8904
636,43.8169,9.442,3.2043
637,43.8858,8.668,2.9556
638,43.9547,8.694,2.8834
639,44.0236,12.105,2.556
640,44.0925,11.059,3.3785
641,44.1614,12.448,3.0071
642,44.2303,11.916,2.8559
643,44.2992,14.224,2.6127
644,44.3681,20.624,2.9648
645,44.437,22.265,4.1852
646,44.5058,22.19,4.4917
647,44.5747,23.433,5.1716
648,44.6436,21.22,5.6387
649,44.7125,15.931,4.9622
650,44.7814,10.906,4.4951
651,44.8503,13.228,3.8336
652,44.9192,13.316,3.4367
653,44.9881,17.108,3.4575
654,45.057,22.744,3.4843
655,45.1259,24.531,3.5238
656,45.1948,19.146,4.4991
657,45.2637,17.236,3.8494
658,45.3326,16.696,3.9138
659,45.4015,16.541,3.2438
660,45.4704,16.08,2.9703
661,45.5393,13.556,3.1247
662,45.6082,13.842,2.5978
663,45.6771,11.086,2.6523
664,45.7459,8.966,2.5036
665,45.8148,8.601,2.3032
666,45.8837,13.022,2.2415
667,45.9526,11.729,2.1454
668,46.0215,11.56,2.8778
669,46.0904,11.815,3.694
670,46.1593,15.043,3.8901
671,46.2282,16.593,3.6353
672,46.2971,19.661,4.2342
673,46.366,20.839,4.5586
674,46.4349,18.589,4.4735
675,46.5038,15.074,4.8066
676,46.5727,12.667,3.9967
677,46.6416,12.232,3.5508
678,46.7105,11.759,2.959
679,46.7794,15.192,2.7814
680,46.8483,14.502,3.0163
681,46.9172,13.976,3.3732
682,46.986,14.151,3.4122
683,47.0549,13.437,4.0253
684,47.1238,13.397,3.699
685,47.1927,10.174,3.7738
686,47.2616,7.91,3.6948
687,47.3305,9.032,3.8639
688,47.3994,7.671,3.3
689,47.4683,7.464,1.9823
690,47.5372,6.122,2.5812
691,47.6061,8.949,3.1668
692,47.675,13.43,3.0754
693,47.7439,17.452,2.8675
694,47.8128,26.087,2.7495
695,47.8817,32.259,3.5393
696,47.9506,29.549,3.0374
697,48.0195,22.069,3.4874
698,48.0884,20.168,3.9776
699,48.1573,20.772,3.6206
700,48.2261,19.091,3.5937
701,48.295,16.694,3.0139
702,48.3639,14.338,2.8319
703,48.4328,13.918,2.7367
704,48.5017,15.992,3.3516
705,48.5706,18.171,2.7304
706,48.6395,17.726,1.8197
707,48.7084,15.877,3.1236
708,48.7773,19.573,2.8514
709,48.8462,22.776,3.0676
710,48.9151,21.942,2.8414
711,48.984,19.542,3.4129
712,49.0529,22.645,4.4507
713,49.1218,23.861,5.8446
714,49.1907,28.452,6.1395
715,49.2596,28.198,5.916
716,49.3285,20.26,3.9157
717,49.3974,15.11,2.8783
718,49.4662,11.039,2.462
719,49.5351,10.457,1.8938
720,49.604,10.439,2.1832
721,49.6729,10.681,1.6107
722,49.7418,12.278,2.09
723,49.8107,16.382,2.4437
724,49.8796,19.066,2.5228
725,49.9485,21.766,2.8731
