,position (um),Fat2 intensity,Abi intensity
443,30.5203,8.9798,1.51823
444,30.5892,7.3046,2.24781
445,30.6581,4.6503,1.66892
446,30.7269,4.1456,1.18531
447,30.7958,4.8248,1.20961
448,30.8647,6.8364,1.74323
449,30.9336,11.1361,1.56249
450,31.0025,11.5435,1.44762
451,31.0714,7.7567,1.21758
452,31.1403,6.5285,1.35785
453,31.2092,4.6276,1.10661
454,31.2781,5.0289,1.86012
455,31.347,4.9469,1.76918
456,31.4159,4.9443,0.93297
457,31.4848,2.4231,1.08666
458,31.5537,2.1349,1.0462
459,31.6226,1.9493,0.87774
460,31.6915,3.231,1.00362
461,31.7604,4.637,1.09901
462,31.8293,4.0229,1.02263
463,31.8982,4.1651,1.30156
464,31.967,5.4262,1.00337
465,32.0359,10.5828,1.29726
466,32.1048,17.5466,1.81875
467,32.1737,19.051,1.76738
468,32.2426,15.5046,2.25148
469,32.3115,11.6371,1.92685
470,32.3804,8.5285,2.10819
471,32.4493,7.2691,2.16992
472,32.5182,4.0001,1.8788
473,32.5871,3.5312,1.73091
474,32.656,6.7034,1.36533
475,32.7249,11.5806,0.84128
476,32.7938,16.2307,1.52498
477,32.8627,24.184,2.29936
478,32.9316,26.5687,2.06456
479,33.0005,26.2988,2.20177
480,33.0694,20.7811,2.61722
481,33.1383,16.7107,2.57022
482,33.2071,14.1182,2.51749
483,33.276,8.1513,2.41776
484,33.3449,6.0345,2.48097
485,33.4138,3.491,2.08168
486,33.4827,4.9153,2.11695
487,33.5516,10.1063,2.05414
488,33.6205,19.7482,2.50141
489,33.6894,26.1988,3.46383
490,33.7583,23.0606,4.75736
491,33.8272,12.6398,4.28288
492,33.8961,5.7786,2.63102
493,33.965,3.4833,1.79477
494,34.0339,6.0206,1.70318
495,34.1028,5.9628,2.41124
496,34.1717,6.779,2.20866
497,34.2406,7.0493,2.83472
498,34.3095,6.7275,3.12787
499,34.3784,8.8969,4.14517
500,34.4473,15.5613,4.19538
501,34.5161,15.2396,4.08572
502,34.585,17.0289,3.28163
503,34.6539,17.7136,2.15916
504,34.7228,20.787,2.13186
505,34.7917,26.7914,3.24245
506,34.8606,24.7775,2.85528
507,34.9295,24.3485,2.79327
508,34.9984,15.097,2.07853
509,35.0673,8.4296,1.41122
510,35.1362,20.8913,3.3715
511,35.2051,20.8264,2.63659
512,35.274,20.2682,3.02594
513,35.3429,21.1159,2.41364
514,35.4118,17.6068,2.16973
515,35.4807,10.9881,2.17524
516,35.5496,9.0642,2.43015
517,35.6185,8.9867,2.84167
518,35.6874,10.4143,4.51
519,35.7562,8.1164,3.89832
520,35.8251,6.6363,3.36151
521,35.894,9.5569,3.43427
522,35.9629,13.2434,3.72721
523,36.0318,15.9434,3.14851
524,36.1007,18.1277,3.24219
525,36.1696,19.3832,3.51635
526,36.2385,17.5583,3.06717
527,36.3074,15.2319,2.83057
528,36.3763,11.301,3.0176
529,36.4452,7.5327,2.91137
530,36.5141,5.9854,1.73801
531,36.583,6.0825,1.81308
532,36.6519,5.7063,1.46925
533,36.7208,4.5742,1.46487
534,36.7897,5.2439,1.93175
535,36.8586,11.8635,1.48515
536,36.9275,18.7917,1.63432
537,36.9963,23.6445,1.87303
538,37.0652,29.9088,2.46644
539,37.1341,25.5273,2.38899
540,37.203,16.9492,1.73822
541,37.2719,12.4686,1.18672
542,37.3408,7.7757,1.37322
543,37.4097,4.2614,1.1393
544,37.4786,3.7776,1.02949
545,37.5475,4.9208,1.25278
546,37.6164,8.8151,1.46673
547,37.6853,10.1242,2.03471
548,37.7542,8.1609,1.25177
549,37.8231,7.3594,1.8051
550,37.892,5.499,2.42888
551,37.9609,5.9973,1.96162
552,38.0298,5.3191,1.87903
553,38.0987,5.3104,1.91473
554,38.1676,7.3177,1.97303
555,38.2364,8.793,1.97077
556,38.3053,9.1208,1.87007
557,38.3742,10.494,2.21932
558,38.4431,14.1304,2.42637
559,38.512,17.4721,3.00946
560,38.5809,22.6562,3.44456
561,38.6498,21.694,3.07828
562,38.7187,15.874,2.94576
563,38.7876,11.8767,2.1804
564,38.8565,9.0678,1.88
565,38.9254,7.6082,0.95011
566,38.9943,7.5318,1.38029
567,39.0632,6.5147,1.89563
568,39.1321,6.7168,1.79401
569,39.201,10.9144,2.60513
570,39.2699,15.9149,2.60897
