X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8
8.9563,4.24139,8.9563,1.36916,8.9563,0.96661,8.9563,2.40113,,,,,8.9563,1.38170,8.9563,1.32859,8.9563,1.28351
9.0252,3.10449,9.0252,0.99602,9.0252,0.70105,9.0252,2.44016,,,,,9.0252,0.70397,9.0252,1.73605,9.0252,0.87815
9.0941,2.71473,9.0941,1.10069,9.0941,0.78708,9.0941,2.20233,,,,,9.0941,0.91043,9.0941,2.23091,9.0941,0.42669
9.1630,2.01623,9.1630,1.52374,9.1630,0.85146,9.1630,1.87076,,,,,9.1630,0.89457,9.1630,2.15370,9.1630,0.47162
9.2319,2.24990,9.2319,1.25885,9.2319,0.69949,9.2319,2.12397,,,,,9.2319,0.47348,9.2319,2.06423,9.2319,1.10998
9.3008,2.33028,9.3008,1.03382,9.3008,1.59678,9.3008,1.29303,,,,,9.3008,0.52488,9.3008,2.36866,9.3008,1.46447
9.3697,1.09977,9.3697,1.10506,9.3697,0.80048,9.3697,1.35258,,,,,9.3697,0.88971,9.3697,2.54869,9.3697,1.15823
9.4385,1.00882,9.4385,0.79881,9.4385,0.55207,9.4385,0.93197,,,,,9.4385,1.01582,9.4385,2.58973,9.4385,1.64412
9.5074,0.69204,9.5074,1.39211,9.5074,0.85591,9.5074,1.07885,,,,,9.5074,0.52317,9.5074,2.68638,9.5074,1.22718
9.5763,1.08326,9.5763,1.33267,9.5763,0.88788,9.5763,0.36454,,,,,9.5763,0.38651,9.5763,1.79046,9.5763,1.49286
9.6452,0.93143,9.6452,1.13628,9.6452,0.48632,9.6452,0.23832,,,,,9.6452,0.37527,9.6452,1.11333,9.6452,1.54169
9.7141,0.62365,9.7141,0.74967,9.7141,0.93386,9.7141,0.58997,,,,,9.7141,0.43152,9.7141,1.41458,9.7141,1.27020
9.7830,1.24038,9.7830,0.54858,9.7830,1.34921,9.7830,0.52491,,,,,9.7830,0.49532,9.7830,1.76130,9.7830,1.35918
9.8519,1.03758,9.8519,1.03976,9.8519,1.47216,9.8519,0.51493,,,,,9.8519,0.54895,9.8519,1.62382,9.8519,2.42712
9.9208,1.27405,9.9208,1.69156,9.9208,1.63930,9.9208,1.08512,,,,,9.9208,0.84296,9.9208,1.96143,9.9208,2.41623
9.9897,1.56654,9.9897,0.98147,9.9897,1.76172,9.9897,0.86458,,,,,9.9897,0.97789,9.9897,1.84290,9.9897,2.52391
10.0586,2.87803,10.0586,0.42998,10.0586,1.69058,10.0586,0.84356,,,,,10.0586,1.81570,10.0586,2.97441,10.0586,3.36962
10.1275,2.47589,10.1275,0.71731,10.1275,2.33651,10.1275,1.09776,,,,,10.1275,2.08815,10.1275,2.20316,10.1275,3.50726
10.1964,2.19732,10.1964,0.99795,10.1964,2.14067,10.1964,0.90737,,,,,10.1964,1.90345,10.1964,2.24034,10.1964,3.62211
10.2653,2.65583,10.2653,0.99462,10.2653,1.52285,10.2653,0.44213,,,,,10.2653,1.99716,10.2653,2.38939,10.2653,2.96537
10.3342,2.08808,10.3342,0.86250,10.3342,1.77898,10.3342,0.44588,,,,,10.3342,2.08189,10.3342,2.80769,10.3342,2.38245
10.4031,1.08498,10.4031,0.42079,10.4031,1.76329,10.4031,0.81225,,,,,10.4031,1.34936,10.4031,3.35862,10.4031,2.42033
10.4720,1.43787,10.4720,0.24549,10.4720,1.84977,10.4720,0.54406,,,,,10.4720,1.50204,10.4720,3.29780,10.4720,1.33727
10.5409,1.30487,10.5409,0.49745,10.5409,1.71678,10.5409,0.91160,,,,,10.5409,1.21589,10.5409,2.67801,10.5409,1.25472
