X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6
11.7121,2.2392,11.7121,3.4194,11.7121,3.7657,11.7121,1.0449,11.7121,28.9668,11.7121,9.1652,,
11.7810,3.0966,11.7810,4.7054,11.7810,3.8775,11.7810,1.3309,11.7810,17.5566,11.7810,16.3850,,
11.8499,4.5252,11.8499,5.2210,11.8499,5.4329,11.8499,1.2890,11.8499,13.7091,11.8499,21.2137,,
11.9187,6.1845,11.9187,6.0372,11.9187,5.0691,11.9187,1.2566,11.9187,12.2380,11.9187,20.0009,,
11.9876,5.3390,11.9876,6.0471,11.9876,4.4695,11.9876,1.6726,11.9876,10.6974,11.9876,14.6821,,
12.0565,4.0268,12.0565,9.1757,12.0565,3.8513,12.0565,1.0683,12.0565,5.8520,12.0565,9.5736,,
12.1254,3.1580,12.1254,14.4120,12.1254,3.8891,12.1254,1.5550,12.1254,3.9864,12.1254,6.2358,,
12.1943,2.4240,12.1943,13.3749,12.1943,2.5868,12.1943,1.5046,12.1943,1.7836,12.1943,5.7969,,
12.2632,2.0852,12.2632,16.9229,12.2632,2.2789,12.2632,2.4365,12.2632,2.1238,12.2632,5.0575,,
12.3321,3.1822,12.3321,18.9965,12.3321,1.5867,12.3321,1.7804,12.3321,1.9727,12.3321,3.2248,,
12.4010,4.0204,12.4010,17.4556,12.4010,1.4260,12.4010,0.9921,12.4010,1.4963,12.4010,1.5153,,
12.4699,3.2880,12.4699,20.1154,12.4699,2.0227,12.4699,2.1011,12.4699,2.0292,12.4699,1.5856,,
12.5388,2.5766,12.5388,20.4569,12.5388,1.2170,12.5388,4.0910,12.5388,3.5599,12.5388,0.7561,,
12.6077,4.3905,12.6077,21.7780,12.6077,1.0077,12.6077,8.6230,12.6077,6.9462,12.6077,0.9538,,
12.6766,6.4215,12.6766,21.8450,12.6766,1.5169,12.6766,18.9310,12.6766,16.0731,12.6766,1.1819,,
12.7455,8.3711,12.7455,12.5142,12.7455,2.2234,12.7455,27.7632,12.7455,18.3384,12.7455,2.5454,,
12.8144,13.5268,12.8144,9.6894,12.8144,4.1471,12.8144,28.1858,12.8144,19.2329,12.8144,3.4135,,
12.8833,14.6720,12.8833,8.4379,12.8833,6.9683,12.8833,16.3845,12.8833,12.9917,12.8833,5.5265,,
12.9522,13.6438,12.9522,5.8743,12.9522,10.5233,12.9522,7.4569,12.9522,7.6098,12.9522,6.0824,,
13.0211,12.5542,13.0211,4.6913,13.0211,22.3082,13.0211,5.5148,13.0211,7.8798,13.0211,4.4014,,
13.0900,14.8733,13.0900,3.8319,13.0900,29.1651,13.0900,6.9913,13.0900,10.0686,13.0900,5.0887,,
13.1588,16.9941,13.1588,4.1839,13.1588,24.3992,13.1588,6.8548,13.1588,10.3332,13.1588,6.1476,,
13.2277,11.7994,13.2277,8.4974,13.2277,20.3995,13.2277,8.0511,13.2277,9.6340,13.2277,7.6824,,
13.2966,7.2226,13.2966,12.1988,13.2966,14.2265,13.2966,10.5688,13.2966,10.6697,13.2966,11.2112,,
13.3655,4.5071,13.3655,13.9058,13.3655,15.3319,13.3655,11.1505,13.3655,20.2992,13.3655,22.0487,,
13.4344,5.5716,13.4344,13.9903,13.4344,17.7237,13.4344,9.4168,13.4344,26.3571,13.4344,27.7477,,
13.5033,6.3097,13.5033,11.4948,13.5033,16.4743,13.5033,7.0188,13.5033,28.4524,13.5033,25.2220,,
13.5722,6.8806,13.5722,9.8155,13.5722,9.5700,13.5722,6.6211,13.5722,19.2081,13.5722,30.8686,,
13.6411,4.2835,13.6411,9.8680,13.6411,4.6913,13.6411,8.4653,13.6411,17.4207,13.6411,35.8602,,
13.7100,3.4041,13.7100,15.8587,13.7100,6.7881,13.7100,8.6388,13.7100,12.7208,13.7100,25.5468,,
13.7789,2.1283,13.7789,31.4008,13.7789,10.8269,13.7789,10.1706,13.7789,8.5566,13.7789,11.4303,,
13.8478,1.3017,13.8478,38.5734,13.8478,12.6161,13.8478,10.7199,13.8478,6.2552,13.8478,9.6044,,
13.9167,1.5253,13.9167,35.9161,13.9167,14.2390,13.9167,10.5169,13.9167,5.2659,13.9167,6.3666,,
13.9856,3.7611,13.9856,25.4735,13.9856,19.7437,13.9856,8.1893,13.9856,3.8737,13.9856,6.0145,,
14.0545,5.4903,14.0545,20.3644,14.0545,24.1001,14.0545,6.1052,14.0545,2.5254,14.0545,3.9316,,
14.1234,9.8318,14.1234,17.8287,14.1234,26.9290,14.1234,5.3392,14.1234,1.7887,14.1234,3.7731,,
14.1923,15.2500,14.1923,17.1502,14.1923,29.7081,14.1923,5.7403,14.1923,1.9216,14.1923,4.9073,,
