X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8
8.5429,6.8402,8.5429,15.3773,8.5429,14.2191,8.5429,16.2186,,,,,8.5429,1.7832,8.5429,16.5323,8.5429,30.4299
8.6118,8.8278,8.6118,13.8204,8.6118,9.8049,8.6118,19.7980,,,,,8.6118,1.7532,8.6118,19.7529,8.6118,26.5374
8.6807,12.9681,8.6807,12.2477,8.6807,9.5489,8.6807,20.4321,,,,,8.6807,1.9873,8.6807,23.5516,8.6807,18.7445
8.7496,20.5151,8.7496,8.9311,8.7496,10.8609,8.7496,19.8910,,,,,8.7496,1.7161,8.7496,22.8483,8.7496,19.3924
8.8185,21.6755,8.8185,5.0890,8.8185,9.4035,8.8185,17.6481,,,,,8.8185,2.4460,8.8185,17.5648,8.8185,23.2674
8.8874,25.5966,8.8874,3.3040,8.8874,8.3337,8.8874,17.9390,,,,,8.8874,2.1622,8.8874,14.3884,8.8874,21.8499
8.9563,28.6848,8.9563,1.3483,8.9563,8.7272,8.9563,20.5487,,,,,8.9563,2.1523,8.9563,11.2367,8.9563,14.0305
9.0252,35.7820,9.0252,2.0910,9.0252,6.9943,9.0252,18.3790,,,,,9.0252,1.8129,9.0252,12.6471,9.0252,7.2654
9.0941,37.7938,9.0941,3.6824,9.0941,5.2157,9.0941,17.1648,,,,,9.0941,2.5400,9.0941,13.0347,9.0941,2.5196
9.1630,37.0676,9.1630,4.6384,9.1630,3.9256,9.1630,17.4307,,,,,9.1630,2.5909,9.1630,16.5364,9.1630,2.0038
9.2319,32.4435,9.2319,8.6609,9.2319,1.9586,9.2319,16.7912,,,,,9.2319,3.9456,9.2319,24.2131,9.2319,3.5015
9.3008,22.0086,9.3008,10.2993,9.3008,1.4936,9.3008,16.5868,,,,,9.3008,5.5445,9.3008,21.7441,9.3008,4.5315
9.3697,12.5661,9.3697,11.4598,9.3697,2.3585,9.3697,12.9773,,,,,9.3697,6.9790,9.3697,16.8449,9.3697,7.7337
9.4385,9.7502,9.4385,12.3060,9.4385,3.6022,9.4385,7.6708,,,,,9.4385,7.2048,9.4385,10.1686,9.4385,14.1551
9.5074,9.3826,9.5074,14.6627,9.5074,4.5021,9.5074,3.8058,,,,,9.5074,3.5354,9.5074,9.7005,9.5074,15.4831
9.5763,8.2995,9.5763,13.7156,9.5763,2.9139,9.5763,2.3093,,,,,9.5763,4.1890,9.5763,7.7281,9.5763,15.7165
9.6452,10.2956,9.6452,10.2051,9.6452,3.2771,9.6452,1.5170,,,,,9.6452,3.9187,9.6452,8.4878,9.6452,10.7533
9.7141,13.0345,9.7141,5.6692,9.7141,3.2831,9.7141,3.0944,,,,,9.7141,5.0684,9.7141,10.8819,9.7141,6.3823
9.7830,14.6709,9.7830,4.5785,9.7830,4.5303,9.7830,4.2377,,,,,9.7830,7.4560,9.7830,14.4485,9.7830,6.9648
9.8519,15.5033,9.8519,4.2339,9.8519,3.7535,9.8519,3.7081,,,,,9.8519,11.2563,9.8519,19.1778,9.8519,9.8980
9.9208,19.9846,9.9208,4.4662,9.9208,5.0501,9.9208,3.1125,,,,,9.9208,15.6417,9.9208,20.5045,9.9208,12.6434
9.9897,19.5391,9.9897,4.1155,9.9897,4.9996,9.9897,2.4681,,,,,9.9897,19.6505,9.9897,22.2762,9.9897,17.4400
10.0586,20.8643,10.0586,3.7627,10.0586,4.5881,10.0586,1.5736,,,,,10.0586,23.1850,10.0586,19.1876,10.0586,25.8395
