,position (um),Ecad intensity,Abi intensity
472,32.5182,5.6883,3.8826
473,32.5871,5.6271,3.0684
474,32.656,5.8217,2.7973
475,32.7249,6.9763,2.6763
476,32.7938,7.3832,2.7374
477,32.8627,8.8088,2.8635
478,32.9316,9.18,3.5141
479,33.0005,8.3163,2.4642
480,33.0694,7.1956,2.2482
481,33.1383,7.5198,2.8539
482,33.2071,10.2188,2.4387
483,33.276,11.1242,2.1957
484,33.3449,10.5724,2.6623
485,33.4138,14.2699,1.9906
486,33.4827,16.8107,2.7095
487,33.5516,21.0529,2.8912
488,33.6205,25.4643,2.3701
489,33.6894,18.3033,3.431
490,33.7583,15.1047,3.9201
491,33.8272,13.3076,4.4987
492,33.8961,14.1145,5.9896
493,33.965,15.9734,5.7399
494,34.0339,18.0871,5.9818
495,34.1028,18.7991,6.4679
496,34.1717,17.6216,6.1426
497,34.2406,17.6656,5.2276
498,34.3095,14.3369,5.4858
499,34.3784,16.6026,6.6624
500,34.4472,21.4011,7.7264
501,34.5161,25.2307,8.5763
502,34.585,20.0614,9.7648
503,34.6539,15.4215,9.4271
504,34.7228,14.3892,7.0507
505,34.7917,15.666,5.2664
506,34.8606,14.0175,3.9835
507,34.9295,11.3732,2.3033
508,34.9984,8.6196,2.0879
509,35.0673,8.9408,2.3041
510,35.1362,9.6887,2.1518
511,35.2051,8.7452,2.2498
512,35.274,7.6334,2.2785
513,35.3429,10.1415,2.9175
514,35.4118,12.6924,2.1468
515,35.4807,12.9216,1.4436
516,35.5496,14.2007,1.9009
517,35.6185,11.9023,1.4676
518,35.6873,11.0263,0.9161
519,35.7562,11.3267,0.5907
520,35.8251,11.2921,0.5183
521,35.894,11.6116,0.6305
522,35.9629,12.2466,0.7766
523,36.0318,11.0584,0.6349
524,36.1007,10.5721,0.7806
525,36.1696,10.7003,1.1424
526,36.2385,10.5419,1.0376
527,36.3074,13.3421,1.1111
528,36.3763,12.8509,0.943
529,36.4452,10.1658,0.9233
530,36.5141,11.6429,0.9596
531,36.583,14.349,0.6132
532,36.6519,16.1138,0.6704
533,36.7208,16.4359,0.4977
534,36.7897,14.9497,0.525
535,36.8586,13.4166,0.9194
536,36.9274,15.3295,1.13
537,36.9963,14.721,0.9548
538,37.0652,15.0107,0.9689
539,37.1341,11.713,0.9775
540,37.203,12.9497,0.8659
541,37.2719,12.2779,1.3493
542,37.3408,11.4379,1.2762
543,37.4097,11.2061,1.7806
544,37.4786,9.3512,2.0268
545,37.5475,9.6569,1.7091
546,37.6164,10.1659,1.6269
547,37.6853,11.5951,1.502
548,37.7542,11.6517,1.4252
549,37.8231,11.4534,1.3463
550,37.892,9.5301,1.4174
551,37.9609,11.4702,1.831
552,38.0298,13.0472,1.1714
553,38.0987,12.1231,1.3092
554,38.1675,12.3667,1.9511
555,38.2364,15.7523,2.4516
556,38.3053,16.8298,2.7607
557,38.3742,18.8299,3.28
558,38.4431,19.3625,4.5709
559,38.512,18.4619,5.1039
560,38.5809,18.5806,4.7804
561,38.6498,19.6696,5.5087
562,38.7187,21.917,6.8901
563,38.7876,23.5194,8.2069
564,38.8565,23.1291,8.4725
565,38.9254,19.5925,8.7276
566,38.9943,16.054,6.5423
567,39.0632,13.1018,5.0954
568,39.1321,11.4836,4.2047
569,39.201,9.3468,2.0468
570,39.2699,3.8478,2.0201
571,39.3388,3.4702,1.2618
572,39.4076,2.5079,0.793
573,39.4765,3.3606,0.6349
574,39.5454,2.8352,0.7819
575,39.6143,1.7191,0.5852
576,39.6832,1.7274,1.1528
577,39.7521,1.7785,0.942
578,39.821,2.7651,1.2547
579,39.8899,3.2534,0.668
580,39.9588,4.2844,0.6291
581,40.0277,3.4465,0.5448
582,40.0966,3.3889,0.5959
583,40.1655,3.6563,0.5368
584,40.2344,2.9348,0.3763
585,40.3033,2.5336,0.5769
586,40.3722,3.0202,0.3886
587,40.4411,2.7518,0.5297
588,40.51,2.852,0.6676
589,40.5789,2.9849,1.5555
590,40.6478,4.2703,1.5619
591,40.7166,6.4583,1.2205
592,40.7855,7.3328,1.8915
593,40.8544,9.1341,2.2116
594,40.9233,11.9594,1.5259
595,40.9922,12.5484,2.5016
596,41.0611,11.7306,2.4294
597,41.13,13.8611,3.0265
598,41.1989,13.0845,3.9675
599,41.2678,14.0369,5.0288
600,41.3367,14.1627,5.4326
601,41.4056,11.8473,5.4653
602,41.4745,11.7858,5.9699
603,41.5434,18.8066,6.1559
604,41.6123,19.3275,5.6771
605,41.6812,13.077,4.3562
606,41.7501,10.8967,2.3402
607,41.819,9.4236,2.4633
608,41.8879,8.8283,1.7168
609,41.9567,7.8735,1.4856
610,42.0256,9.0328,1.6563
611,42.0945,9.6626,2.5079
612,42.1634,10.4852,1.953
613,42.2323,8.4819,1.6146
614,42.3012,7.9776,1.9646
615,42.3701,8.2289,1.7329
616,42.439,6.7515,1.5754
617,42.5079,7.0963,1.5095
618,42.5768,6.1589,1.2241
619,42.6457,5.6251,2.0874
620,42.7146,6.0215,1.7539
621,42.7835,4.384,2.5848
622,42.8524,6.1103,2.5282
623,42.9213,5.4775,3.4645
624,42.9902,6.695,2.8592
625,43.0591,7.6528,2.2688
626,43.128,6.9725,2.0551
627,43.1968,6.9282,1.5701
628,43.2657,5.3868,2.03
629,43.3346,5.9637,2.3654
630,43.4035,4.5636,1.9351
631,43.4724,5.6037,1.9839
632,43.5413,4.8446,1.1908
633,43.6102,3.8102,1.8116
634,43.6791,3.1938,2.1853
635,43.748,5.4906,1.9047
636,43.8169,7.2064,1.7811
637,43.8858,9.2538,1.908
638,43.9547,8.6626,2.406
639,44.0236,9.2326,2.2208
640,44.0925,8.4736,1.9616
641,44.1614,7.0931,2.4965
642,44.2303,8.5152,2.7438
643,44.2992,9.6664,2.9788
644,44.3681,10.5583,2.5064
645,44.437,9.6176,3.662
646,44.5058,9.5249,4.3563
647,44.5747,10.2728,6.7999
648,44.6436,11.6804,8.4521
649,44.7125,12.4135,8.5932
650,44.7814,12.9678,9.4512
651,44.8503,12.0539,9.0247
652,44.9192,11.2427,8.0473
653,44.9881,10.1651,7.2659
654,45.057,10.3603,5.5771
655,45.1259,12.1868,4.5807
656,45.1948,10.6257,4.2503
657,45.2637,8.1015,3.2179
658,45.3326,7.1995,2.2401
659,45.4015,6.906,2.781
660,45.4704,6.8933,3.327
661,45.5393,9.1385,2.6422
662,45.6082,8.6576,1.9588
663,45.6771,6.8838,2.6408
664,45.7459,4.7367,2.3858
665,45.8148,5.1877,2.8852
666,45.8837,5.4692,2.298
667,45.9526,5.9861,2.8569
668,46.0215,8.2471,3.4151
669,46.0904,10.1375,3.3995
670,46.1593,11.903,4.205
671,46.2282,11.0523,4.6617
672,46.2971,11.8044,5.8128
673,46.366,15.0496,4.142
674,46.4349,14.1295,3.7005
675,46.5038,14.5063,2.8518
676,46.5727,15.7479,3.6523
677,46.6416,14.4688,2.9114
678,46.7105,16.5915,3.3697
679,46.7794,16.0617,4.3556
680,46.8483,20.3856,4.5368
681,46.9172,23.8941,3.2856
682,46.986,25.0012,3.1989
683,47.0549,25.856,3.8829
684,47.1238,22.0758,3.9195
685,47.1927,19.1636,3.9013
686,47.2616,16.3607,3.8848
687,47.3305,13.4544,3.0771
688,47.3994,9.8679,3.6351
689,47.4683,9.0848,3.6493
690,47.5372,10.6568,3.668
691,47.6061,12.057,4.9617
692,47.675,9.2233,4.3941
693,47.7439,9.9909,3.6253
694,47.8128,8.738,2.9486
695,47.8817,8.2166,2.237
696,47.9506,7.5937,1.6489
697,48.0195,6.6398,1.5612
